"adsh","name","ProfitLoss","Revenues","profit_margin"
"0000030625-23-000077","FLOWSERVE CORP",198015000,0,Inf
"0001104659-23-039369","ACROPOLIS INFRASTRUCTURE ACQUISITION CORP.",205069,0,Inf
"0001477932-23-001946","LIGHTBRIDGE CORP",7497857,0,Inf
"0001640334-23-000487","GLACIER WORLDWIDE, INC.",118770,0,Inf
"0001683168-23-001275","U. S. PREMIUM BEEF, LLC",169359000,0,Inf
"0001477932-23-002029","CROWN EQUITY HOLDINGS, INC.",739975,2935,25212.1
"0001477932-23-001554","CAMBER ENERGY, INC.",107741965,597255,18039.52
"0001640334-23-000526","GENERAL ENTERPRISE VENTURES, INC.",2907828,62732,4635.32
"0001477932-23-001788","UNITED HEALTH PRODUCTS, INC.",1687501,37500,4500
"0001903596-23-000201","APPTECH PAYMENTS CORP.",16281,450,3618
"0001477932-23-002039","BIOCORRX INC.",4376832,213841,2046.77
"0000733590-23-000003","TRANSCONTINENTAL REALTY INVESTORS INC",469004000,36660000,1279.33
"0001102238-23-000004","AMERICAN REALTY INVESTORS INC",475317000,37544000,1266.03
"0001558370-23-003952","SENSEONICS HOLDINGS, INC.",142119000,16389000,867.16
"0001903596-23-000255","CAPSTONE COMPANIES, INC.",2700000,346474,779.28
"0000894245-23-000032","AEI INCOME & GROWTH FUND 26 LLC",2113645,304429,694.3
"0001660734-23-000033","TRITON INTERNATIONAL LTD",746922000,147874000,505.11
"0001213900-23-025519","MEGA MATRIX CORP.",9300000,1927400,482.52
"0001558370-23-004109","TERRITORIAL BANCORP INC.",16156000,3420000,472.4
"0001558370-23-001675","ISTAR INC.",600414000,158051000,379.89
"0000885508-23-000017","STRATUS PROPERTIES INC",89743000,37498000,239.33
"0001477932-23-002073","METATERRA CORP.",37732,16705,225.87
"0001477932-23-002106","ICONIC BRANDS, INC.",30806447,14745261,208.92
"0000894245-23-000030","AEI INCOME & GROWTH FUND XXI LTD PARTNERSHIP",1531185,807075,189.72
"0001140361-23-014864","TRILOGY INTERNATIONAL PARTNERS INC.",437039000,238517000,183.23
"0001654954-23-003260","AMERICAN BIO MEDICA CORP",1410000,913000,154.44
"0001213900-23-017628","MARIS TECH LTD.",3688346,2504896,147.25
"0001477932-23-002112","FLORA GROWTH CORP.",52629000,37171000,141.59
"0000894245-23-000034","AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP",598495,434359,137.79
"0001498233-23-000018","CEPTON, INC.",9380000,7426000,126.31
"0000950170-23-005259","APARTMENT INCOME REIT CORP.",970050000,773723000,125.37
"0001193125-23-056045","UNITED BANKSHARES INC/WV",379627000,311957000,121.69
"0001477932-23-001657","EDIBLE GARDEN AG INC",12453000,11552000,107.8
"0001477932-23-001887","EDIBLE GARDEN AG INC",12453000,11552000,107.8
"0001637757-23-000004","CLEARWAY ENERGY LLC",1.282e+09,1.19e+09,107.73
"0001393311-23-000012","PUBLIC STORAGE",4366274000,4182163000,104.4
"0000874501-23-000040","AMBAC FINANCIAL GROUP INC",5.22e+08,5.05e+08,103.37
"0000950170-23-005603","VERRA MOBILITY CORP",92475000,94318000,98.05
"0001654954-23-002860","CREXENDO, INC.",35413000,37554000,94.3
"0001410578-23-000179","UNITED STATES NATURAL GAS FUND, LP",75029489,80016838,93.77
"0001603145-23-000005","NEXTERA ENERGY PARTNERS, LP",1.121e+09,1.211e+09,92.57
"0001410578-23-000193","UNITED STATES 12 MONTH NATURAL GAS FUND, LP",3632266,3951786,91.91
"0001567683-23-000011","CLEARWAY ENERGY, INC.",1.06e+09,1.19e+09,89.08
"0001039828-23-000032","AMERICAN EQUITY INVESTMENT LIFE HOLDING CO",1221302000,1415501000,86.28
"0001214659-23-004059","NEW CONCEPT ENERGY, INC.",181000,212000,85.38
"0000950170-23-003950","GREYSTONE HOUSING IMPACT INVESTORS LP",65562166,81073577,80.87
"0001602065-23-000007","VIPER ENERGY PARTNERS LP",655004000,866467000,75.59
"0001558370-23-001074","ALPINE INCOME PROPERTY TRUST, INC.",33955000,45203000,75.12
"0001628280-23-005726","STARWOOD PROPERTY TRUST, INC.",1059061000,1464716000,72.3
"0001628280-23-004630","BLACK STONE MINERALS, L.P.",476480000,663604000,71.8
"0000014846-23-000005","BRT APARTMENTS CORP.",50099000,70527000,71.04
"0000921825-23-000011","FIRST INDUSTRIAL REALTY TRUST INC",381612000,539929000,70.68
"0000912752-23-000010","SINCLAIR BROADCAST GROUP INC",2.701e+09,3.928e+09,68.76
"0000950170-23-011406","REDWOOD MORTGAGE INVESTORS IX",4058000,6086000,66.68
"0001654954-23-004101","RECRUITER.COM GROUP, INC.",16474688,25372274,64.93
"0000894245-23-000031","AEI INCOME & GROWTH FUND 25 LLC",866110,1355069,63.92
"0001698990-23-000010","MAGNOLIA OIL & GAS CORP",1050249000,1694493000,61.98
"0000776867-23-000004","WHITE MOUNTAINS INSURANCE GROUP LTD",712400000,1157900000,61.53
"0001564590-23-001902","PROLOGIS, INC.",3555398000,5973692000,59.52
"0000803649-23-000030","EQUITY COMMONWEALTH",37357000,63140000,59.17
"0000950170-23-005575","MEDICAL PROPERTIES TRUST INC",903819000,1542851000,58.58
"0001558370-23-001423","LTC PROPERTIES INC",100584000,175153000,57.43
"0001104659-23-030602","DANAOS CORP",559210000,993344000,56.3
"0001411494-23-000010","APOLLO ASSET MANAGEMENT, INC.",1994320000,3551356000,56.16
"0001558370-23-002394","INNOVATIVE INDUSTRIAL PROPERTIES INC",154386000,276359000,55.86
"0000950170-23-004172","GETTY REALTY CORP /MD/",90043000,165588000,54.38
"0001575965-23-000007","GAMING & LEISURE PROPERTIES, INC.",703285000,1311685000,53.62
"0001156375-23-000020","CME GROUP INC.",2.691e+09,5019400000,53.61
"0001558370-23-001306","SAFEHOLD INC.",144684000,270313000,53.52
"0001558370-23-001907","KIMBELL ROYALTY PARTNERS, LP",130794286,248059185,52.73
"0000888491-23-000006","OMEGA HEALTHCARE INVESTORS INC",438841000,878244000,49.97
"0001854964-23-000007","NEWLAKE CAPITAL PARTNERS, INC.",22356000,44794000,49.91
"0000950170-23-006714","SITIO ROYALTIES CORP.",184131000,369612000,49.82
"0000832480-23-000013","UTG INC",34364346,69708835,49.3
"0000950170-23-004459","HESS MIDSTREAM LP",620600000,1275200000,48.67
"0000950170-23-004699","APARTMENT INVESTMENT & MANAGEMENT CO",92158000,190344000,48.42
"0001628280-23-005628","EXTRA SPACE STORAGE INC.",921156000,1924170000,47.87
"0001193125-23-079137","NAVIOS MARITIME PARTNERS L.P.",579247000,1210528000,47.85
"0001213900-23-020144","METEN HOLDING GROUP LTD.",38878000,81599000,47.65
"0001213900-23-020144","METEN HOLDING GROUP LTD.",5637000,11831000,47.65
"0001539838-23-000022","DIAMONDBACK ENERGY, INC.",4.562e+09,9.643e+09,47.31
"0001014473-23-000005","VERISIGN INC/CA",673800000,1424900000,47.29
"0001728951-23-000021","ESSENTIAL PROPERTIES REALTY TRUST, INC.",134742000,286506000,47.03
"0001558370-23-001840","SIMON PROPERTY GROUP INC /DE/",2452385000,5291447000,46.35
"0001558370-23-002247","INTERNATIONAL SEAWAYS, INC.",387891000,864665000,44.86
"0001141391-23-000020","MASTERCARD INC",9.93e+09,2.2237e+10,44.66
"0001650132-23-000038","FOUR CORNERS PROPERTY TRUST, INC.",97908000,223194000,43.87
"0000915912-23-000004","AVALONBAY COMMUNITIES INC",1136438000,2593446000,43.82
"0001705696-23-000035","VICI PROPERTIES INC.",1136267000,2600697000,43.69
"0000950170-23-002248","NATIONAL RETAIL PROPERTIES, INC.",334621000,773053000,43.29
"0000950170-23-003794","CONTINENTAL RESOURCES, INC",4046120000,9473708000,42.71
"0001558370-23-001930","ENERPLUS CORP",914302000,2155688000,42.41
"0001520006-23-000056","MATADOR RESOURCES CO",1286317000,3058025000,42.06
"0000895126-23-000022","CHESAPEAKE ENERGY CORP",4.936e+09,1.1743e+10,42.03
"0001283140-23-000017","HOLLY ENERGY PARTNERS LP",229905000,547480000,41.99
"0001842022-23-000006","DT MIDSTREAM, INC.",3.82e+08,9.2e+08,41.52
"0001063344-23-000018","HERSHA HOSPITALITY TRUST",166060000,405874000,40.91
"0000077159-23-000003","RANGER OIL CORP",464518000,1145189000,40.56
"0001025378-23-000035","W. P. CAREY INC.",598482000,1479086000,40.46
"0001410578-23-000507","SACHEM CAPITAL CORP.",20908651,52276025,40
"0000950170-23-003160","REGENCY CENTERS CORP",488035000,1224022000,39.87
"0001822993-23-000009","JACKSON FINANCIAL INC.",5.74e+09,1.4551e+10,39.45
"0000842183-23-000015","RPT REALTY",85657000,217656000,39.35
"0001783398-23-000008","UWM HOLDINGS CORP",931858000,2372626000,39.28
"0001553350-23-000229","NOCOPI TECHNOLOGIES INC/MD/",1813100,4627200,39.18
"0000950170-23-003074","CLAROS MORTGAGE TRUST, INC.",112155000,287201000,39.05
"0001423902-23-000023","WESTERN MIDSTREAM PARTNERS, LP",1251456000,3251721000,38.49
"0000915913-23-000039","ALBEMARLE CORP",2815131000,7320104000,38.46
"0000049600-23-000021","EASTGROUP PROPERTIES INC",186274000,487025000,38.25
"0001185185-23-000299","TAITRON COMPONENTS INC",3208000,8423000,38.09
"0000933136-23-000009","MR. COOPER GROUP INC.",9.23e+08,2.464e+09,37.46
"0000034903-23-000020","FEDERAL REALTY INVESTMENT TRUST",395661000,1074378000,36.83
"0001444838-23-000006","LXP INDUSTRIAL TRUST",116243000,321245000,36.19
"0000950170-23-007971","ITEOS THERAPEUTICS, INC.",96652000,267630000,36.11
"0001558370-23-004357","STORE CAPITAL LLC",327901000,910172000,36.03
"0001558370-23-001274","AGREE REALTY CORP",153035000,429814000,35.6
"0001178913-23-000552","INMODE LTD.",161520000,454271000,35.56
"0000950170-23-011418","REDWOOD MORTGAGE INVESTORS VIII",1657000,4668000,35.5
"0001558370-23-001377","ANTERO MIDSTREAM CORP",326242000,919985000,35.46
"0000950170-23-004415","LIFE STORAGE, INC.",366462000,1038166000,35.3
"0001324404-23-000006","CF INDUSTRIES HOLDINGS, INC.",3.937e+09,1.1186e+10,35.2
"0001193125-23-048733","BLACKSTONE INC.",2988909000,8517673000,35.09
"0001558370-23-002011","RLI CORP",583411000,1697992000,34.36
"0001552000-23-000008","MPLX LP",3.978e+09,1.1613e+10,34.25
"0000950170-23-009715","GTJ REIT, INC.",21992000,65534000,33.56
"0001558370-23-002048","FIRST HAWAIIAN, INC.",265685000,793074000,33.5
"0001193125-23-080667","NAVIOS MARITIME HOLDINGS INC.",85269000,255397000,33.39
"0001300514-23-000021","LAS VEGAS SANDS CORP",1.357e+09,4.11e+09,33.02
"0001656423-23-000013","BOSTON PROPERTIES INC",1020584000,3108581000,32.83
"0001552781-23-000219","SWK HOLDINGS CORP",13491000,41484000,32.52
"0000950170-23-002778","MID AMERICA APARTMENT COMMUNITIES INC.",654776000,2019866000,32.42
"0001126975-23-000064","MAGELLAN MIDSTREAM PARTNERS, L.P.",1036400000,3200400000,32.38
"0001038357-23-000039","PIONEER NATURAL RESOURCES CO",7.845e+09,2.4294e+10,32.29
"0000950170-23-005118","VIR BIOTECHNOLOGY, INC.",515837000,1615797000,31.92
"0001410578-23-000263","HUDSON TECHNOLOGIES INC /NY",103801000,325225000,31.92
"0001498547-23-000013","CIM REAL ESTATE FINANCE TRUST, INC.",143866000,452146000,31.82
"0000950170-23-004115","BROADSTONE NET LEASE, INC.",129475000,407513000,31.77
"0001889539-23-000003","COREBRIDGE FINANCIAL, INC.",8.469e+09,2.6679e+10,31.74
"0000950170-23-002852","DEVON ENERGY CORP/DE",6.037e+09,1.9169e+10,31.49
"0000078003-23-000024","PFIZER INC",3.1407e+10,1.0033e+11,31.3
"0001558370-23-004566","ARDMORE SHIPPING CORP",138454000,445741000,31.06
"0000950170-23-007575","PEAPACK GLADSTONE FINANCIAL CORP",74246000,242497000,30.62
"0001564590-23-002204","PACCAR FINANCIAL CORP",196800000,642900000,30.61
"0000950170-23-003924","SITE CENTERS CORP.",168792000,552353000,30.56
"0001558370-23-001781","GENCO SHIPPING & TRADING LTD",159364000,536934000,29.68
"0000054480-23-000003","KANSAS CITY SOUTHERN",983800000,3370400000,29.19
"0001564590-23-002595","OVINTIV INC.",3.637e+09,1.2464e+10,29.18
"0000875045-23-000009","BIOGEN INC.",2961600000,10173400000,29.11
"0001558370-23-002252","BLACK KNIGHT, INC.",4.5e+08,1551900000,29
"0001298675-23-000009","CUBESMART",292472000,1009624000,28.97
"0000717423-23-000015","MURPHY OIL CORP",1138719000,3932662000,28.96
"0000713676-23-000020","PNC FINANCIAL SERVICES GROUP, INC.",6.113e+09,2.112e+10,28.94
"0001527166-23-000014","CARLYLE GROUP INC.",1284700000,4438700000,28.94
"0001558370-23-001378","ANTERO RESOURCES CORP",2025972000,7138436000,28.38
"0001628280-23-004259","LOUISIANA-PACIFIC CORP",1.083e+09,3.854e+09,28.1
"0001571283-23-000006","REXFORD INDUSTRIAL REALTY, INC.",177157000,631204000,28.07
"0001558370-23-002793","REPUBLIC BANCORP INC /KY/",91106000,326501000,27.9
"0001558370-23-001760","ST JOE CO",70228000,252321000,27.83
"0001104659-23-022860","PRINCIPAL FINANCIAL GROUP INC",4852200000,17491600000,27.74
"0001479094-23-000005","STAG INDUSTRIAL, INC.",182234000,657345000,27.72
"0001558370-23-002393","CNH INDUSTRIAL CAPITAL LLC",219122000,791835000,27.67
"0001213900-23-020226","GENIE ENERGY LTD.",86931000,315539000,27.55
"0001654954-23-003968","IDAHO STRATEGIC RESOURCES, INC.",2631092,9580189,27.46
"0000920522-23-000005","ESSEX PROPERTY TRUST, INC.",432985000,1606814000,26.95
"0001045450-23-000033","EPR PROPERTIES",176229000,658031000,26.78
"0000907254-23-000009","SAUL CENTERS, INC.",65392000,245860000,26.6
"0001064728-23-000013","PEABODY ENERGY CORP",1319100000,4981900000,26.48
"0001558370-23-003920","LEGACY HOUSING CORP",67773000,257015000,26.37
"0000091576-23-000026","KEYCORP /NEW/",1.917e+09,7.272e+09,26.36
"0001555280-23-000074","ZOETIS INC.",2.111e+09,8.08e+09,26.13
"0000726728-23-000044","REALTY INCOME CORP",872416000,3343681000,26.09
"0001042776-23-000063","PIEDMONT OFFICE REALTY TRUST, INC.",146830000,563766000,26.04
"0001628280-23-005257","PACWEST BANCORP",423613000,1631316000,25.97
"0000759944-23-000029","CITIZENS FINANCIAL GROUP INC/RI",2.073e+09,8.021e+09,25.84
"0001437749-23-005812","WHITESTONE REIT",35800000,139421000,25.68
"0001437749-23-008641","HG HOLDINGS, INC.",3659000,14482000,25.27
"0001628280-23-002794","HEALTHPEAK PROPERTIES, INC.",516424000,2061178000,25.05
"0001517302-23-000016","ARTISAN PARTNERS ASSET MANAGEMENT INC.",248385000,993285000,25.01
"0001437749-23-008767","RESERVE PETROLEUM CO",3973120,16170884,24.57
"0000020212-23-000059","CHURCHILL DOWNS INC",439400000,1809800000,24.28
"0000860546-23-000010","CORPORATE OFFICE PROPERTIES TRUST",178822000,739030000,24.2
"0001748824-23-000010","BRIGHTSPHERE INVESTMENT GROUP INC.",100600000,417200000,24.11
"0000913341-23-000012","C & F FINANCIAL CORP",29369000,121946000,24.08
"0001104659-23-028003","IRADIMED CORP",12828487,53303145,24.07
"0001051470-23-000041","CROWN CASTLE INC.",1.675e+09,6.986e+09,23.98
"0001163165-23-000006","CONOCOPHILLIPS",1.868e+10,7.8494e+10,23.8
"0000033213-23-000008","EQT CORP",1780942000,7497689000,23.75
"0001657853-23-000039","HERTZ GLOBAL HOLDINGS, INC",2.059e+09,8.685e+09,23.71
"0001025996-23-000072","KILROY REALTY CORP",259493000,1096987000,23.66
"0000877860-23-000015","NATIONAL HEALTH INVESTORS INC",65501000,278194000,23.55
"0001653653-23-000004","RED ROCK RESORTS, INC.",390352000,1663786000,23.46
"0000950170-23-004655","UNIVERSAL HEALTH REALTY INCOME TRUST",21102000,90625000,23.28
"0000950170-23-005278","TALOS ENERGY INC.",381915000,1651980000,23.12
"0001628280-23-005573","WSFS FINANCIAL CORP",222648000,963949000,23.1
"0000723612-23-000015","AVIS BUDGET GROUP, INC.",2.756e+09,1.1994e+10,22.98
"0001628280-23-005252","NATIONAL STORAGE AFFILIATES TRUST",183765000,801569000,22.93
"0001618755-23-000010","RESTAURANT BRANDS INTERNATIONAL LIMITED PARTNERSHIP",1.482e+09,6.505e+09,22.78
"0001618756-23-000013","RESTAURANT BRANDS INTERNATIONAL INC.",1.482e+09,6.505e+09,22.78
"0001193125-23-044711","TERADYNE, INC",715501000,3155045000,22.68
"0000950170-23-006082","XPONENTIAL FITNESS, INC.",2875000,12823000,22.42
"0000021344-23-000011","COCA COLA CO",9.571e+09,4.3004e+10,22.26
"0001710366-23-000005","CONSOL ENERGY INC.",466979000,2101937000,22.22
"0001307748-23-000031","INVENTRUST PROPERTIES CORP.",52233000,236707000,22.07
"0001569187-23-000010","ARMADA HOFFLER PROPERTIES, INC.",99953000,454153000,22.01
"0000025232-23-000003","COUSINS PROPERTIES INC",167445000,762290000,21.97
"0001562762-23-000044","CORONADO GLOBAL RESOURCES INC.",771703000,3571542000,21.61
"0001038509-23-000006","PRUCO LIFE INSURANCE OF NEW JERSEY",51279000,238452000,21.5
"0001628280-23-005059","HESS CORP",2.447e+09,1.157e+10,21.15
"0001604665-23-000009","WESTLAKE CHEMICAL PARTNERS LP",334829000,1593147000,21.02
"0001574540-23-000026","PHYSICIANS REALTY TRUST",110036000,526635000,20.89
"0001556593-23-000012","RITHM CAPITAL CORP.",983285000,4726927000,20.8
"0000895417-23-000008","EQUITY LIFESTYLE PROPERTIES INC",298825000,1447080000,20.65
"0001551152-23-000011","ABBVIE INC.",1.1845e+10,5.8054e+10,20.4
"0000950170-23-004146","WESTERN UNION CO",910600000,4475500000,20.35
"0001327607-23-000023","FIRST WESTERN FINANCIAL INC",21698000,107934000,20.1
